Netid,Fid,DiffLUDB,DiffLUDB (ms),DiffLUDB (min),#SubTandems,objFunc Derivation (aggr ns),objFunc Derivation (aggr ms),objFunc Derivation (aggr min),NLopt wrapper (aggr ns),NLopt wrapper (aggr ms),NLopt wrapper (aggr min),NLP (aggr ns),NLP (aggr ms),NLP (aggr min)
1,0,11861498,11,0,1,6807196,6,0,6872,0,0,2195,0,0
1,16,7694363,7,0,2,945126,0,0,1419258,1,0,610177,0,0
1,13,9336302,9,0,5,776368,0,0,21862,0,0,2173086,2,0
1,1,561696,0,0,1,115327,0,0,2264,0,0,371,0,0
1,5,2122681,2,0,3,325822,0,0,9789,0,0,61616,0,0
1,12,520259,0,0,1,128131,0,0,1714,0,0,370,0,0
1,9,35824176,35,0,17,2544862,2,0,114366,0,0,18004286,18,0
1,7,605649,0,0,1,132139,0,0,8175,0,0,12533,0,0
1,10,1064461,1,0,3,227638,0,0,9818,0,0,20188,0,0
1,8,601911,0,0,1,103304,0,0,8075,0,0,12353,0,0
1,2,40616,0,0,0,0,0,0,0,0,0,0,0,0
1,6,249899,0,0,1,68940,0,0,862,0,0,390,0,0
1,15,25739,0,0,0,0,0,0,0,0,0,0,0,0
1,14,1985202,1,0,4,350610,0,0,30536,0,0,42340,0,0
1,11,1582305,1,0,5,344919,0,0,26069,0,0,28674,0,0
1,4,1210737,1,0,2,153528,0,0,10410,0,0,280507,0,0
1,3,1470865,1,0,5,239370,0,0,25098,0,0,30065,0,0
2,28,1965916,1,0,11,288012,0,0,8926,0,0,3758,0,0
2,3,8520337,8,0,25,991375,0,0,59832,0,0,2983246,2,0
2,26,5452390,5,0,25,994010,0,0,58279,0,0,325371,0,0
2,2,86503119,86,0,85,5086857,5,0,171373,0,0,69615256,69,0
2,6,5085088,5,0,34,610428,0,0,67337,0,0,1327886,1,0
2,14,2067707,2,0,19,365868,0,0,37360,0,0,75110,0,0
2,19,1020698,1,0,10,155693,0,0,15509,0,0,23653,0,0
2,15,65493943,65,0,52,809071,0,0,73055,0,0,59771158,59,0
2,20,85370759,85,0,89,1775059,1,0,182330,0,0,74112709,74,0
2,18,4524064,4,0,22,376660,0,0,63589,0,0,1718008,1,0
2,10,3921924,3,0,22,340207,0,0,34127,0,0,1676171,1,0
2,17,803750,0,0,9,99750,0,0,8955,0,0,13174,0,0
2,32,13897266,13,0,52,768856,0,0,63273,0,0,7784381,7,0
2,23,2379413,2,0,27,301899,0,0,34303,0,0,291690,0,0
2,12,6438734,6,0,50,595751,0,0,61433,0,0,2183995,2,0
2,8,1226976,1,0,17,145039,0,0,10975,0,0,14637,0,0
2,29,1748607,1,0,16,155584,0,0,10539,0,0,560465,0,0
2,11,1775849,1,0,10,123392,0,0,9917,0,0,945198,0,0
2,22,10993778,10,0,65,802193,0,0,87378,0,0,5586734,5,0
2,31,1170520,1,0,14,168175,0,0,17395,0,0,27924,0,0
2,4,6461426,6,0,43,531711,0,0,62686,0,0,2602886,2,0
2,21,10447851,10,0,30,339259,0,0,23764,0,0,7761373,7,0
2,13,942722,0,0,10,148839,0,0,21761,0,0,28494,0,0
2,27,259668,0,0,2,62037,0,0,10701,0,0,7874,0,0
2,5,444475,0,0,5,94367,0,0,8895,0,0,14948,0,0
2,0,6183854,6,0,50,572972,0,0,64589,0,0,2201622,2,0
2,24,2333518,2,0,27,357099,0,0,40984,0,0,306997,0,0
2,7,689185,0,0,9,111420,0,0,9006,0,0,8176,0,0
2,16,1002304,1,0,14,138831,0,0,17905,0,0,28134,0,0
2,1,624874,0,0,10,103545,0,0,1311,0,0,380,0,0
2,25,2260429,2,0,27,297495,0,0,41039,0,0,305673,0,0
2,30,4095499,4,0,17,259829,0,0,20729,0,0,2333656,2,0
2,9,24621477,24,0,57,671813,0,0,77654,0,0,19506270,19,0
3,159,26533922,26,0,281,2308198,2,0,142108,0,0,1705278,1,0
3,22,1075692261,1075,0,13176,41936049,41,0,2702719,2,0,550348719,550,0
3,43,63874078,63,0,746,1263374,1,0,82728,0,0,42531189,42,0
3,100,1492014,1,0,16,48701,0,0,5782,0,0,809913,0,0
3,76,1246092,1,0,42,72936,0,0,6824,0,0,16851,0,0
3,96,527421072,527,0,10792,21503439,21,0,1270743,1,0,161404262,161,0
3,169,1276128874,1276,0,25103,46488485,46,0,2928389,2,0,498588760,498,0
3,158,376959,0,0,12,25451,0,0,3636,0,0,9237,0,0
3,59,5940337,5,0,172,305096,0,0,20936,0,0,1055631,1,0
3,188,277176967,277,0,6785,11021906,11,0,757291,0,0,91023621,91,0
3,121,115609736,115,0,1917,3122162,3,0,209432,0,0,63043683,63,0
3,133,400772355,400,0,6414,11794609,11,0,698491,0,0,222488927,222,0
3,183,24471575,24,0,473,784376,0,0,55204,0,0,11398179,11,0
3,147,311105,0,0,12,17794,0,0,401,0,0,300,0,0
3,138,544452319,544,0,8293,13574687,13,0,904311,0,0,314179753,314,0
3,14,256483455,256,0,3942,6346848,6,0,422786,0,0,148639770,148,0
3,28,6649661,6,0,243,384267,0,0,28746,0,0,94386,0,0
3,185,379384969,379,0,9495,14951247,14,0,1031245,1,0,117366598,117,0
3,209,36592281,36,0,937,1450193,1,0,86644,0,0,11673263,11,0
3,218,16236983,16,0,96,168391,0,0,9859,0,0,13330329,13,0
3,117,161475007,161,0,3237,5097969,5,0,345682,0,0,73681405,73,0
3,71,318619,0,0,12,18635,0,0,390,0,0,312,0,0
3,153,335570,0,0,11,23573,0,0,3627,0,0,9179,0,0
3,48,1289226387,1289,0,21159,33181871,33,0,2247017,2,0,712160052,712,0
3,220,8101329,8,0,250,386325,0,0,29067,0,0,179149,0,0
3,9,167484665,167,0,2700,4345054,4,0,296596,0,0,92076025,92,0
3,120,530460667,530,0,7956,13971360,13,0,883089,0,0,307746503,307,0
3,92,163231811,163,0,2700,4295042,4,0,300306,0,0,89402304,89,0
3,7,39764,0,0,1,2655,0,0,60,0,0,20,0,0
3,174,185699308,185,0,3283,5176810,5,0,365638,0,0,95135604,95,0
3,4,102240592,102,0,1925,3088931,3,0,215554,0,0,48933686,48,0
3,114,19768544,19,0,62,121653,0,0,8445,0,0,17839199,17,0
3,39,88459926,88,0,2235,3576704,3,0,255683,0,0,25648531,25,0
3,57,719013509,719,0,15534,24261312,24,0,1678681,1,0,294141951,294,0
3,110,100839889,100,0,2679,4211324,4,0,285083,0,0,27834116,27,0
3,198,2103064,2,0,54,95435,0,0,8497,0,0,574334,0,0
3,223,10669688,10,0,19,56305,0,0,6623,0,0,9876988,9,0
3,219,116585500,116,0,1917,3022744,3,0,213268,0,0,64300564,64,0
3,69,34782929,34,0,408,669009,0,0,52110,0,0,23426578,23,0
3,55,62992691,62,0,738,1183730,1,0,80951,0,0,42509864,42,0
3,164,62709117,62,0,746,1199684,1,0,81711,0,0,42085125,42,0
3,35,57037,0,0,2,4148,0,0,80,0,0,41,0,0
3,171,45215,0,0,2,3666,0,0,70,0,0,50,0,0
3,67,47753502,47,0,410,640194,0,0,33033,0,0,36546430,36,0
3,143,117620185,117,0,1321,3082356,3,0,123658,0,0,81013090,81,0
3,75,68543065,68,0,2011,3172692,3,0,233348,0,0,13793609,13,0
3,166,18756199,18,0,593,923798,0,0,63980,0,0,2812403,2,0
3,78,52911168,52,0,955,1534049,1,0,107115,0,0,26406013,26,0
3,13,17108913,17,0,532,826247,0,0,53391,0,0,2833076,2,0
3,181,1112669135,1112,0,29065,45623878,45,0,3173776,3,0,318106932,318,0
3,119,163320257,163,0,3237,5069264,5,0,340551,0,0,75433249,75,0
3,8,7153187,7,0,229,362809,0,0,26190,0,0,827502,0,0
3,64,372081940,372,0,9417,14808152,14,0,1035109,1,0,113254079,113,0
3,88,50806160,50,0,978,1586611,1,0,119882,0,0,23507093,23,0
3,200,425071396,425,0,10550,16387982,16,0,1110278,1,0,137637578,137,0
3,82,123067093,123,0,2917,4616218,4,0,315975,0,0,41898451,41,0
3,145,6894862,6,0,228,374891,0,0,28003,0,0,577367,0,0
3,204,1191721347,1191,0,17238,27367587,27,0,1820799,1,0,721877798,721,0
3,211,86863,0,0,2,5219,0,0,100,0,0,60,0,0
3,192,15885372,15,0,547,845784,0,0,59651,0,0,1188657,1,0
3,130,140736491,140,0,3344,5344182,5,0,387327,0,0,48679342,48,0
3,213,206022353,206,0,1722,2752236,2,0,185398,0,0,157450266,157,0
3,80,67595793,67,0,1414,2175066,2,0,131090,0,0,29855620,29,0
3,85,869933615,869,0,12894,20593676,20,0,1398528,1,0,515282142,515,0
3,31,10653696,10,0,60,118696,0,0,8406,0,0,8740931,8,0
3,93,72542685,72,0,378,685726,0,0,47131,0,0,61184332,61,0
3,201,11558668,11,0,342,548358,0,0,39541,0,0,2101102,2,0
3,205,49720921,49,0,879,1488556,1,0,85037,0,0,21174307,21,0
3,15,103756152,103,0,1901,3192044,3,0,211669,0,0,44204792,44,0
3,56,10324950,10,0,303,467334,0,0,29262,0,0,2080045,2,0
3,186,28018482,28,0,495,778750,0,0,52080,0,0,14602273,14,0
3,112,61741999,61,0,1264,2035782,2,0,149425,0,0,26605444,26,0
3,191,543314089,543,0,8293,13207197,13,0,883559,0,0,315965098,315,0
3,3,100230976,100,0,2010,3142638,3,0,221283,0,0,45651385,45,0
3,151,7159068,7,0,229,358961,0,0,25852,0,0,832174,0,0
3,203,33458008,33,0,504,821674,0,0,49732,0,0,19282040,19,0
3,11,21676470,21,0,664,1073077,1,0,77466,0,0,3148040,3,0
3,83,2109745096,2109,0,32352,52451771,52,0,3551004,3,0,1210700987,1210,0
3,155,78219546,78,0,1226,1980412,1,0,136872,0,0,44414681,44,0
3,180,96670422,96,0,2010,3144290,3,0,214453,0,0,41981364,41,0
3,95,755475033,755,0,14640,22854626,22,0,1524699,1,0,354580747,354,0
3,20,820942575,820,0,13039,20799643,20,0,1366622,1,0,464095587,464,0
3,74,13521119,13,0,348,573570,0,0,41271,0,0,3731183,3,0
3,208,500372504,500,0,7769,12348779,12,0,829777,0,0,287678105,287,0
3,197,1047771034,1047,0,16126,25694356,25,0,1697871,1,0,604570105,604,0
3,176,1567264624,1567,0,17130,28332980,28,0,1784299,1,0,1096592997,1096,0
3,162,648961507,648,0,14707,22899217,22,0,1528816,1,0,247282409,247,0
3,217,141922501,141,0,3344,5334250,5,0,374250,0,0,48670273,48,0
3,0,53754584,53,0,291,551386,0,0,43443,0,0,44763002,44,0
3,53,172805,0,0,2,12333,0,0,2685,0,0,31800,0,0
3,190,94819633,94,0,483,758652,0,0,47183,0,0,81525433,81,0
3,227,773821575,773,0,17580,27739044,27,0,1915179,1,0,288920446,288,0
3,178,24499426,24,0,473,748447,0,0,58742,0,0,11354125,11,0
3,109,264303286,264,0,3150,4941719,4,0,320688,0,0,177675287,177,0
3,61,373133007,373,0,9417,14799567,14,0,1026396,1,0,113636155,113,0
3,122,94582377,94,0,1743,2787159,2,0,191441,0,0,46748321,46,0
3,72,3840921,3,0,96,156991,0,0,11978,0,0,1119716,1,0
3,27,23861969,23,0,496,777610,0,0,53023,0,0,10385347,10,0
3,193,2110052855,2110,0,32352,51238298,51,0,3566165,3,0,1209209261,1209,0
3,136,2063135646,2063,0,50053,78207566,78,0,5249243,5,0,690256547,690,0
3,111,192113537,192,0,5135,7983491,7,0,541208,0,0,52065675,52,0
3,52,970123475,970,0,21558,33454995,33,0,2225643,2,0,380225634,380,0
3,46,48875531,48,0,407,679106,0,0,45723,0,0,37191291,37,0
3,152,525548,0,0,19,28347,0,0,660,0,0,460,0,0
3,91,21089506,21,0,608,956716,0,0,69502,0,0,4152191,4,0
3,101,45327241,45,0,879,1420250,1,0,83987,0,0,20806058,20,0
3,50,486056943,486,0,12559,19658526,19,0,1359852,1,0,139512146,139,0
3,36,37016356,37,0,965,1482344,1,0,95740,0,0,11035690,11,0
3,115,91276392,91,0,2307,3669466,3,0,253876,0,0,27805745,27,0
3,221,16790364,16,0,549,894159,0,0,62502,0,0,1523128,1,0
3,37,8607542,8,0,22,64942,0,0,6522,0,0,7750641,7,0
3,89,10787580,10,0,332,526353,0,0,35383,0,0,1598569,1,0
