,NetID,FlowID,runTimeLUDB(ns)
1567,14, 21,58149
4365,33, 12,82164
1823,17, 116,3562941
3246,27, 261,3826936
1891,17, 170,3922046
1806,17, 41,3953974
603,8, 77,4046227
4344,32, 224,4079190
256,3, 62,4105405
17,1, 0,4274007
11,1, 6,4281130
1588,15, 8,4316443
3599,28, 230,4344319
2325,21, 2,4414688
2789,26, 30,4518174
625,9, 19,4563828
4263,32, 120,4595367
2337,23, 3,4612509
4281,32, 202,4635835
3971,30, 38,4646837
220,3, 196,4723258
1412,13, 246,4771347
1767,17, 140,4811091
1281,12, 21,4837210
2340,23, 11,4873369
1675,16, 4,4943549
327,7, 3,5003434
1205,12, 172,5050470
608,9, 2,5137724
2309,20, 7,5167149
290,5, 14,5310388
4093,31, 83,5369431
2860,26, 23,5380809
1973,18, 194,5482902
1857,17, 104,5487710
1256,12, 194,5506856
4004,30, 67,5612266
1730,17, 275,5637882
6,1, 1,5665152
330,8, 3,5773438
2150,18, 70,5916958
4002,30, 90,5943047
605,8, 17,6076734
2093,18, 44,6131617
3071,27, 280,6316465
4031,31, 3,6535849
3948,30, 13,6668860
1026,10, 233,6911571
1337,13, 198,6989156
1926,17, 224,7035422
930,10, 360,7151961
4294,32, 236,7607668
3541,28, 189,7652874
2855,26, 98,7986977
3769,29, 124,8051480
208,3, 21,8216652
3033,27, 162,8378908
2338,23, 2,8469702
1764,17, 243,8636283
1761,17, 16,9306451
113,3, 35,10055747
139,3, 211,10083219
1674,16, 17,10194574
2351,24, 93,10609945
883,10, 113,10849372
1890,17, 84,11092751
352,8, 121,11401238
2225,19, 91,11512037
441,8, 79,12120827
702,10, 379,12369556
2330,23, 10,12587673
3906,30, 34,12993664
1841,17, 242,13550759
1676,16, 24,13845620
2837,26, 51,13925905
2329,23, 6,14029188
1900,17, 115,14596021
3199,27, 260,14898999
780,10, 265,15361127
27,2, 27,15685163
2313,20, 8,15916528
4005,30, 76,16137177
3422,28, 174,17394437
2311,20, 0,18324070
4295,32, 115,19283976
293,5, 15,19653581
3163,27, 323,20020745
4020,31, 7,20422635
294,5, 10,21022998
4354,32, 160,21685460
1555,14, 22,21701850
1078,10, 323,21881120
498,8, 196,22163520
288,5, 9,22227242
1943,17, 246,22699735
3472,28, 173,23016314
1795,17, 259,23297675
16,1, 8,23585743
282,5, 16,24218304
4038,31, 90,25124544
285,5, 12,25287385
2077,18, 114,25570823
4299,32, 142,26642695
2163,18, 117,26966081
1491,13, 13,27893714
1313,13, 251,28192886
1106,11, 4,29111296
1569,14, 12,29670882
1255,12, 105,29840496
2470,24, 122,30327332
4304,32, 55,30974098
267,3, 2,31190614
1660,16, 5,32071684
577,8, 178,32110673
2078,18, 76,32294868
2660,24, 392,32540278
2749,24, 323,32991482
9,1, 5,33684000
269,3, 49,35667805
18,2, 5,36339703
4364,33, 7,37297728
310,6, 2,37316713
2107,18, 52,37852051
1397,13, 23,38229937
1425,13, 93,38961607
2315,20, 4,39339860
1561,14, 25,39869906
23,2, 1,40345417
1575,14, 17,41274320
2321,20, 2,41771550
2805,26, 4,42528012
1579,14, 23,43127402
3386,28, 90,43470755
3,1, 10,43625694
1099,11, 5,44424010
2859,26, 3,44781579
20,2, 7,45495184
1098,11, 7,45874660
4280,32, 227,46488864
206,3, 172,47314977
3493,28, 116,48564859
4143,32, 22,49387506
1165,12, 89,50093380
3433,28, 380,51299924
553,8, 191,51735827
3204,27, 121,52561735
2813,26, 40,53059333
2477,24, 237,53699314
619,9, 6,53945948
3222,27, 239,54425058
28,2, 19,55726881
2572,24, 212,56344076
3349,28, 288,56534524
140,3, 147,56880997
601,8, 221,57141430
2721,24, 271,58203548
1064,10, 158,59135416
326,7, 2,59849222
3952,30, 59,60420760
2334,23, 12,61670153
384,8, 198,62987261
4265,32, 237,63685946
3536,28, 363,64226224
46,2, 17,67244277
2316,20, 9,68721875
178,3, 158,69678782
2319,20, 3,70048794
3897,30, 62,71417527
291,5, 2,71528340
3631,28, 201,71800003
