,NetID,FlowID,runTimeLUDB(ns)
7,1, 2,75020
5,1, 15,129943
259,3, 40,3723788
1034,10, 418,3917025
117,3, 7,3927257
859,10, 273,4037409
3938,30, 98,4075805
3475,28, 329,4088126
1734,17, 60,4220674
2039,18, 62,4277359
2405,24, 161,4313709
2326,21, 1,4318929
4420,34, 23,4352692
1541,13, 188,4416471
3648,28, 42,4555994
2242,19, 46,4582923
3139,27, 160,4607138
2323,21, 3,4616607
1656,16, 22,4638537
2327,21, 0,4684123
2336,23, 9,4727996
2015,18, 97,4810566
2784,26, 85,4836639
298,6, 9,4851589
1847,17, 198,4896821
2339,23, 0,4982964
106,3, 165,5016557
4458,34, 83,5065610
3981,30, 55,5161631
2,1, 12,5227703
1602,15, 17,5310979
1395,13, 105,5373386
1253,12, 120,5382533
4142,32, 222,5483294
4394,34, 77,5505123
1066,10, 13,5595581
902,10, 139,5624438
1239,12, 59,5638583
2736,24, 121,5734252
712,10, 149,5835913
4397,34, 65,5917207
1874,17, 239,6066206
3954,30, 44,6130930
1257,12, 32,6251613
1103,11, 2,6438483
1100,11, 8,6583816
4405,34, 10,6806395
3347,28, 120,6973568
2036,18, 87,7005233
4431,34, 52,7101288
3584,28, 359,7168022
1176,12, 116,7633904
4319,32, 128,7737580
4375,33, 6,7997388
3423,28, 362,8186994
4194,32, 49,8296729
328,7, 1,8414004
1933,17, 183,8505469
2333,23, 5,9149328
2335,23, 7,9443538
287,5, 3,10071770
219,3, 140,10163261
375,8, 225,10578169
114,3, 171,10767320
1433,13, 184,11061242
1124,12, 125,11187278
1562,14, 1,11427186
308,6, 8,11605803
133,3, 163,12136886
2285,19, 102,12506121
3425,28, 240,12981314
1608,15, 53,13010254
2322,21, 5,13642060
2324,21, 4,13848760
2317,20, 6,14008558
2241,19, 113,14376800
4369,33, 8,14671747
598,8, 92,15264503
4341,32, 81,15561784
1654,15, 71,15784997
2030,18, 188,16120461
1430,13, 242,16730390
2314,20, 12,17825125
2320,20, 11,18466458
292,5, 6,19306761
1677,16, 10,19681954
629,9, 44,20064053
4429,34, 76,20717994
3861,29, 12,21192511
2331,23, 1,21696915
479,8, 251,21781858
325,7, 0,22009446
4371,33, 3,22176912
2312,20, 10,22326385
3442,28, 85,22730930
594,8, 40,23296146
2328,23, 8,23385160
2184,19, 0,24174064
303,6, 6,24580272
289,5, 4,25195424
286,5, 0,25448879
1289,12, 28,25673012
4111,31, 10,26702011
1445,13, 179,27571719
1966,17, 62,27994984
615,9, 17,28202834
296,5, 1,29670608
437,8, 25,29743619
281,5, 11,30130590
1537,13, 219,30670156
1102,11, 0,31117548
3279,27, 312,31205093
2310,20, 1,32076780
2524,24, 362,32154991
1105,11, 6,32500681
3829,29, 50,32913193
2918,27, 211,33423461
2845,26, 49,33939106
2227,19, 99,36180106
4366,33, 2,37032461
638,9, 1,37298079
2567,24, 167,37552493
1504,13, 142,37889656
1851,17, 148,38242077
4401,34, 98,39213812
1558,14, 15,39671855
2863,26, 73,40165293
450,8, 49,41241135
2639,24, 143,41436181
1580,14, 6,41816374
2222,19, 16,42627827
4373,33, 11,43157569
1846,17, 11,43483205
8,1, 16,44111764
3047,27, 367,44426723
1101,11, 1,45337983
1104,11, 3,45799198
3667,28, 204,46242605
104,3, 71,47170065
1,1, 7,47785807
3219,27, 164,48655319
4409,34, 45,49906635
626,9, 20,50663543
3926,30, 88,51609756
1765,17, 40,51904275
3973,30, 65,52833267
1577,14, 8,53387149
628,9, 7,53770259
43,2, 28,54298455
15,1, 3,55243084
3777,29, 71,56213247
1581,14, 4,56402194
10,1, 11,56574641
4335,32, 12,57026909
2555,24, 297,57771434
1559,14, 7,58877405
1167,12, 155,59586131
275,3, 53,60060753
309,6, 24,61561578
1953,17, 36,62050904
1658,16, 25,63676464
2332,23, 4,63713955
175,3, 153,66596987
547,8, 101,67486723
12,1, 14,69600342
3650,28, 48,69906791
1556,14, 14,70602078
609,9, 16,71484956
29,2, 13,71698911
680,10, 342,71867056
3638,28, 134,73216281
1112,12, 171,74029794
302,6, 13,75117034
3995,30, 35,76488695
1284,12, 119,76858010
239,3, 127,79287468
2734,24, 25,83729952
1426,13, 170,85531690
3994,30, 20,85880458
50,2, 8,87197031
4421,34, 85,88168172
708,10, 441,90434231
539,8, 102,91812735
3351,28, 199,94207239
3946,30, 66,96774769
2930,27, 238,98677926
4,1, 4,99716989
4368,33, 1,100192311
1661,16, 11,101714366
4370,33, 10,103425154
301,6, 11,108981398
1265,12, 110,109136118
283,5, 8,109828374
42,2, 31,111961253
1456,13, 51,112597974
4437,34, 73,114573411
2775,26, 59,115211407
320,6, 20,116758665
2793,26, 60,118212075
